ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-06-13T07:02:22+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,25.00,75.00,24.00,74.00,19.74,105.00,621.69,35.04,24.50,74.50,1.00,1.00,19648.08,27023.56,27022.56,19678.08,24,75,74,25,,63432.03,,
2026-06-13T07:02:24+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,22.00,79.00,21.00,78.00,573.09,135.69,155.69,651.71,21.50,78.50,1.00,1.00,20396.08,27023.56,27027.56,20463.68,21,78,78,21,,63426.01,,
2026-06-13T07:02:26+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,22.00,79.00,21.00,78.00,495.59,19.94,44.94,661.28,21.50,78.50,1.00,1.00,20127.66,26848.56,26848.56,20027.06,21,78,78,21,,63426.01,,
2026-06-13T07:02:29+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,16.00,86.00,15.00,85.00,763.27,9.41,3.64,463.51,15.50,85.50,1.00,1.00,14410.63,26743.56,26727.56,14298.67,15,84,85,14,,63414.01,,
2026-06-13T07:02:31+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,16.00,85.00,15.00,84.00,505.78,200.01,231.56,383.27,15.50,84.50,1.00,1.00,14562.64,26722.56,26632.56,14347.64,15,84,84,15,,63417.38,,
2026-06-13T07:02:33+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,16.00,85.00,15.00,84.00,177.11,441.48,563.16,62.56,15.50,84.50,1.00,1.00,14797.80,26591.56,26607.57,14797.80,15,84,84,15,,63417.38,,
2026-06-13T07:02:35+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,16.00,85.00,15.00,84.00,41.01,522.97,498.97,41.21,15.50,84.50,1.00,1.00,14862.50,26591.57,26622.57,14977.50,15,84,84,15,,63417.38,,
2026-06-13T07:02:37+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,16.00,85.00,15.00,84.00,409.58,220.37,171.27,368.72,15.50,84.50,1.00,1.00,14982.80,26612.57,26611.57,14987.80,15,84,84,15,,63417.39,,
2026-06-13T07:02:39+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,16.00,85.00,15.00,84.00,405.51,176.56,117.74,406.51,15.50,84.50,1.00,1.00,15131.92,26616.56,26611.56,15131.92,15,84,84,15,,63417.38,,
2026-06-13T07:02:42+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,13.00,88.00,12.00,87.00,628.75,19.00,19.00,521.69,12.50,87.50,1.00,1.00,14052.66,26591.56,26591.56,14158.96,12,87,87,12,,63417.35,,
2026-06-13T07:02:44+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,13.00,88.00,12.00,87.00,206.51,322.98,446.09,268.23,12.50,87.50,1.00,1.00,14476.50,26597.56,26591.56,14481.50,12,87,87,12,,63410.83,,
2026-06-13T07:02:46+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,13.00,88.00,12.00,87.00,659.44,379.54,399.37,652.33,12.50,87.50,1.00,1.00,15423.13,26601.56,26601.56,15049.13,12,87,87,12,,63411.64,,
2026-06-13T07:02:48+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,13.00,88.00,12.00,87.00,122.16,224.35,194.35,135.16,12.50,87.50,1.00,1.00,15538.04,26606.56,26612.57,15553.04,12,87,87,12,,63417.39,,
2026-06-13T07:02:50+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,12.00,89.00,11.00,88.00,556.93,383.62,57.15,58.46,11.50,88.50,1.00,1.00,15189.27,26436.56,26421.56,13940.20,11,88,88,11,,63417.38,,
2026-06-13T07:02:53+08:00,btc-updown-5m-1781305200,https://polymarket.com/zh/event/btc-updown-5m-1781305200,07:00-07:05,14.00,87.00,13.00,86.00,377.30,39.43,44.39,329.21,13.50,86.50,1.00,1.00,15338.30,26411.56,26426.56,15353.30,13,86,86,13,,63417.38,,
