ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-04-24T11:17:21+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,14.00,87.00,13.00,86.00,335.49,5.00,5.00,659.44,13.50,86.50,1.00,1.00,16862.40,14132.11,14132.11,16862.40,13,86,86,13,,78092.11,,
2026-04-24T11:17:23+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,11.00,90.00,10.00,89.00,112.00,1.80,6.80,112.00,10.50,89.50,1.00,1.00,16697.61,14132.11,14132.11,16697.61,10,89,89,10,,78085.91,,
2026-04-24T11:17:26+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,10.00,91.00,9.00,90.00,1997.14,137.64,154.18,2366.42,9.50,90.50,1.00,1.00,20710.71,14132.11,14132.11,25762.66,9,90,90,9,,78073.51,,
2026-04-24T11:17:29+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,9.00,92.00,8.00,91.00,1220.94,119.92,117.92,1876.32,8.50,91.50,1.00,1.00,20824.07,14112.11,14107.11,27356.07,8,91,91,8,,78069.07,,
2026-04-24T11:17:31+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,8.00,93.00,7.00,92.00,993.87,79.40,90.13,1096.56,7.50,92.50,1.00,1.00,21131.62,13541.61,13581.61,24777.62,7,92,92,7,,78071.85,,
2026-04-24T11:17:34+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,7.00,94.00,6.00,93.00,86.07,1921.63,1941.63,142.07,6.50,93.50,1.00,1.00,30202.62,13596.61,13596.61,26331.62,6,93,93,6,,78076.61,,
2026-04-24T11:17:36+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,8.00,93.00,7.00,92.00,239.18,429.99,419.99,242.18,7.50,92.50,1.00,1.00,23242.97,13596.61,13596.61,28860.97,7,92,92,7,,78085.89,,
2026-04-24T11:17:39+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,8.00,93.00,7.00,92.00,471.52,135.64,135.64,471.52,7.50,92.50,1.00,1.00,17922.12,13401.61,13401.61,17922.12,7,92,92,7,,78083.16,,
2026-04-24T11:17:41+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,8.00,93.00,7.00,92.00,759.97,160.40,165.02,728.97,7.50,92.50,1.00,1.00,17219.51,13396.61,13396.61,17234.12,7,92,92,7,,78084.00,,
2026-04-24T11:17:44+08:00,btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,7.00,94.00,6.00,93.00,151.73,266.06,207.73,195.13,6.50,93.50,1.00,1.00,35213.48,13563.61,13568.61,17154.19,6,93,93,6,,78081.61,,
